남녀공용화장실여부,남성용_대변기수,남성용_소변기수,여성용_대변기수
Y,3,3,8
Y,2,2,8
Y,4,4,4
N,6,8,8
N,15,16,22
Y,4,6,6
Y,1,2,2
Y,2,3,2
Y,1,4,3
Y,2,3,3
Y,1,2,3
Y,2,1,3
Y,2,3,3
Y,1,2,2
Y,1,1,2
Y,1,1,1
Y,1,2,2
Y,5,7,8
Y,5,6,6
Y,2,2,4
Y,4,5,5
Y,1,3,5
Y,1,3,3
Y,2,3,5
Y,3,12,7
Y,1,1,1
Y,1,2,2
Y,3,5,5
Y,4,6,5
Y,4,6,5
Y,4,6,5
Y,6,9,12
N,2,4,2
N,1,1,1
N,1,2,2
N,2,3,3
N,1,3,4
N,1,1,1
N,1,2,2
N,1,2,2
N,1,2,3
N,1,0,1
N,1,0,2
N,2,2,8
N,1,1,2
N,1,1,1
N,1,1,2
N,1,1,1
N,1,1,1
N,1,4,4
N,2,5,5
N,0,0,0
N,2,3,5
N,40,70,55
N,11,17,12
N,1,2,1
N,32,48,32
N,46,47,31
N,15,24,15
N,3,3,5
N,26,59,52
N,21,30,37
N,0,0,0
N,4,11,13
N,3,4,6
N,3,5,5
N,6,4,11
N,3,5,8
N,3,3,2
N,0,0,2
N,2,2,2
N,1,2,2
N,2,3,3
N,2,3,2
N,2,2,3
N,2,2,3
N,0,0,2
N,1,0,1
Y,1,1,0
Y,1,1,0
N,1,1,1
N,1,2,1
N,4,5,4
N,2,2,5
N,1,1,1
N,1,1,1
N,4,5,5
N,3,5,7
N,2,2,4
N,1,2,2
N,2,2,4
N,1,1,2
N,2,2,4
N,1,1,2
N,1,2,2
N,7,9,7
N,7,9,7
N,4,8,4
N,2,3,2
N,1,2,1
N,2,3,2
N,3,4,8
N,3,4,8
N,1,2,3
N,4,1,8
N,6,6,11
N,3,5,5
N,3,3,4
N,3,3,4
N,3,4,6
N,3,5,5
N,6,4,11
N,3,5,8
N,3,3,2
N,0,0,2
N,2,2,2
N,1,2,2
N,2,3,3
N,39,49,113
N,19,27,32
N,88,217,164
N,6,6,11
N,3,5,5
N,3,3,4
N,3,3,4
Y,2,1,0
Y,1,2,0
N,1,2,1
N,2,2,1
N,2,4,2
N,2,3,2
N,2,3,2
N,1,3,2
N,1,3,2
Y,4,1,0
N,1,2,2
N,2,3,2
N,3,5,6
N,0,0,4
N,2,3,3
N,6,7,11
N,2,2,4
N,2,3,1
N,1,3,1
N,1,1,2
N,1,2,1
Y,2,3,0
N,2,2,2
N,1,3,1
Y,1,2,0
N,1,1,1
Y,1,1,0
N,1,2,2
N,1,2,2
N,1,2,2
N,1,1,1
N,2,3,2
Y,2,3,0
N,1,1,1
N,2,2,4
N,1,0,1
N,1,3,1
N,2,2,4
Y,2,2,0
N,2,3,3
N,2,2,2
N,2,3,2
N,2,2,2
Y,2,3,0
N,1,1,1
N,1,2,1
N,1,1,1
N,1,2,2
N,1,1,2
N,1,1,1
Y,0,0,0
N,2,2,2
N,66,61,58
N,3,2,3
N,4,5,9
N,1,2,1
Y,2,1,0
N,0,1,1
N,2,2,2
N,1,2,1
N,2,2,4
N,2,2,2
Y,1,1,0
N,2,3,2
N,2,3,3
N,1,3,3
Y,2,2,0
Y,3,2,3
Y,15,23,16
Y,6,8,9
Y,6,6,3
Y,1,2,2
Y,12,29,21
Y,17,63,59
Y,12,8,78
Y,34,71,3
Y,75,81,5
Y,80,81,5
Y,32,32,76
Y,26,38,35
Y,33,55,46
Y,19,34,33
Y,4,4,93
Y,3,4,88
Y,58,69,58
Y,3,7,55
Y,17,32,25
Y,5,1,7
Y,3,6,5
N,1,1,1
N,4,3,3
N,2,3,2
N,2,3,2
N,16,22,17
N,1,2,1
N,27,33,28
N,1,1,2
Y,111,151,222
Y,25,48,24
Y,2,24,32
Y,5,6,4
Y,8,29,19
Y,5,12,12
Y,9,14,13
Y,62,67,61
Y,42,62,5
Y,2,2,2
Y,2,2,2
Y,2,4,4
Y,1,2,2
Y,1,5,1
Y,1,1,1
Y,2,3,4
Y,3,6,4
Y,17,22,24
Y,5,6,9
Y,3,7,2
Y,2,3,3
Y,3,8,4
Y,1,2,1
Y,2,2,2
Y,3,4,3
Y,26,45,37
Y,35,57,67
Y,7,16,12
Y,95,137,280
Y,4,4,6
Y,4,5,4
Y,3,2,4
Y,1,1,1
Y,2,3,5
Y,1,2,3
Y,2,6,4
Y,34,54,63
Y,2,3,2
Y,2,3,6
Y,1,1,1
Y,3,4,5
Y,1,2,2
Y,2,3,3
Y,6,17,14
Y,3,3,4
Y,6,12,15
Y,4,1,6
Y,28,46,19
Y,20,71,5
Y,21,34,34
Y,12,15,0
Y,53,78,8
Y,69,1,9
Y,32,65,56
Y,8,15,13
Y,5,8,1
Y,35,48,52
Y,36,54,41
N,3,2,3
N,1,2,2
N,1,1,3
N,1,1,2
N,1,1,1
N,2,3,2
N,3,3,2
Y,2,4,75
Y,21,34,34
Y,2,24,32
Y,4,4,4
Y,1,2,2
Y,6,8,6
Y,16,16,16
Y,4,4,6
Y,1,1,1
Y,2,3,2
Y,1,2,3
Y,2,2,4
Y,1,2,3
Y,1,2,2
Y,1,2,3
Y,9,11,14
Y,8,8,7
Y,10,12,12
Y,4,4,6
Y,9,18,9
Y,16,16,32
Y,4,8,12
Y,1,3,5
N,3,3,4
N,2,4,4
N,4,8,12
N,2,4,5
Y,2,2,0
N,2,0,1
N,1,2,3
N,1,2,3
N,1,2,3
N,1,2,3
N,1,1,2
N,2,3,2
N,2,3,4
N,2,3,2
Y,2,3,0
N,1,0,1
Y,2,2,0
N,1,1,1
N,1,0,0
N,2,3,2
N,2,1,2
N,2,1,1
Y,2,3,0
N,1,2,2
N,1,2,2
N,2,2,3
N,10,6,6
N,2,3,3
N,2,2,3
N,2,3,3
N,2,5,7
N,3,3,3
N,4,3,2
N,2,2,2
N,12,12,24
Y,3,1,0
Y,2,1,0
N,3,3,4
N,1,2,3
y,1,3,4
y,2,5,7
y,2,3,3
y,1,1,2
y,0,2,1
y,1,1,2
y,8,8,9
y,1,2,1
y,1,2,1
N,6,9,7
N,1,1,1
N,2,1,2
N,1,0,1
N,1,2,3
N,1,2,3
N,1,2,3
N,4,8,6
N,1,4,2
N,2,3,3
N,2,3,3
N,1,2,3
N,2,2,3
N,4,5,5
N,4,5,5
N,4,5,5
N,3,4,4
Y,4,15,12
Y,5,17,10
Y,2,4,3
Y,2,3,3
Y,1,3,3
Y,1,1,2
Y,2,2,2
Y,2,3,3
Y,4,5,4
Y,5,7,8
Y,1,2,2
Y,1,1,1
Y,2,2,4
Y,2,3,3
Y,1,2,3
Y,3,15,10
Y,2,2,2
Y,1,1,1
Y,1,1,1
Y,3,3,3
N,1,2,3
N,1,2,3
